"contrast","ratio","SE","df","null","t.ratio","p.value"
"Plebeia / Tetragona",0.881588550685184,0.114687804755954,60,1,-0.968773038500624,0.999332927214542
"Plebeia / Tetragonisca",1.04982816629066,0.14522811829168,60,1,0.351512293454771,0.999999996003984
"Plebeia / Trigona",1.02182158092766,0.10901619136263,60,1,0.2023365351737,0.999999999996668
"Scaptotrigona / Schwarziana",1.32743388640147,0.186129787950533,60,1,2.02005578626193,0.749118619810998
"Scaptotrigona / Tetragona",1.02932730978582,0.124517798012619,60,1,0.238947462663163,0.999999999970881
"Scaptotrigona / Tetragonisca",1.22576093043118,0.155682377917955,60,1,1.60273839474837,0.938548854606039
"Scaptotrigona / Trigona",1.19306093319826,0.118349614161938,60,1,1.77948836533119,0.876404541435283
"Schwarziana / Tetragona",0.775426422611691,0.129014399658132,60,1,-1.52869482708771,0.956598490790001
"Schwarziana / Tetragonisca",0.923406388060566,0.157556513812579,60,1,-0.467022416463863,0.999999860301068
"Schwarziana / Trigona",0.898772394934499,0.136180425382057,60,1,-0.704373555705062,0.999980461195086
"Tetragona / Tetragonisca",1.19083688810921,0.178135336483144,60,1,1.16757966923167,0.995689753271929
"Tetragona / Trigona",1.15906857017765,0.155757495841636,60,1,1.09848907380264,0.997609025159958
"Tetragonisca / Trigona",0.97332269578749,0.13663958870249,60,1,-0.192610780007426,0.999999999998311
