Bin,ASV_Count,ASV_Fraction,Reads,Read_Fraction
>=99,663,0.30595293031841253,2217648,0.3459585070940551
>=97,621,0.286571296723581,2539579,0.39618052977181833
>=95,462,0.2131979695431472,1374701,0.2144567152499877
>=90,0,0.0,0,0.0
<90,0,0.0,0,0.0
no_hit,421,0.19427780341485926,278228,0.04340424788413886
