"contrast","ratio","SE","df","null","t.ratio","p.value"
"Friesella schrottickyi / Trigona spinipes",0.670655867753558,0.127472017174639,45,1,-2.10184515170341,0.935456446494013
"Frieseomelitta varia / Lestrimelita limao",2.28766603942931,0.618084313626904,45,1,3.06287838476413,0.367712013089459
"Frieseomelitta varia / Melipona asilvai",0.779918854155418,0.149113071067155,45,1,-1.300092868332,0.999918513861526
"Frieseomelitta varia / Melipona bicolor",1.02094065270828,0.200758918027511,45,1,0.105392048129035,1
"Frieseomelitta varia / Melipona capixaba",0.767023677385998,0.146813780522579,45,1,-1.3857249961083,0.999751849568556
"Frieseomelitta varia / Melipona captiosa",1.12623710841073,0.216153980821668,45,1,0.61941683120704,1
"Frieseomelitta varia / Melipona fulva",0.885481356978451,0.190813133143887,45,1,-0.564403889159318,1
"Frieseomelitta varia / Melipona mandacaia",1.04252451756394,0.198069895517345,45,1,0.219196027069611,1
"Frieseomelitta varia / Melipona marginata",1.7232096007211,0.32903978719614,45,1,2.84996238946766,0.508029683319808
"Frieseomelitta varia / Melipona mondury",0.987040184630414,0.188447998789645,45,1,-0.0683237386138081,1
"Frieseomelitta varia / Melipona quadrifasciata",0.779760208987109,0.149361903630871,45,1,-1.29872498198422,0.999920039136646
"Frieseomelitta varia / Melipona scutellaris",0.859695180349156,0.163332653596555,45,1,-0.795716436079474,0.999999997290924
"Frieseomelitta varia / Nannotrigona testaceicornis",1.43278541492835,0.279011011280426,45,1,1.84673303976178,0.983889909454997
"Frieseomelitta varia / Oxytrigona tataira",2.97857987831252,0.801508829803973,45,1,4.0560513714153,0.040872915789179
"Frieseomelitta varia / Partamona helleri",0.716050070293665,0.136050009252426,45,1,-1.75791561291453,0.991262015650048
"Frieseomelitta varia / Plebeia droryana",1.15710958629502,0.224189754568451,45,1,0.75316287940517,0.999999999263817
"Frieseomelitta varia / Plebeia lucii",1.31258997925174,0.251100098440308,45,1,1.42185309571018,0.999618008886076
"Frieseomelitta varia / Plebeia phrynostoma",1.61209120024488,0.504851985636106,45,1,1.52485383614863,0.998832057740466
"Frieseomelitta varia / Scaptotrigona bipunctata",0.960610238856135,0.183981318914667,45,1,-0.209823439496339,1
"Frieseomelitta varia / Scaptotrigona depilis",1.20225700577352,0.328417291587779,45,1,0.674314360439846,0.999999999949964
"Frieseomelitta varia / Scaptotrigona polysticta",0.78041251796326,0.148840441992613,45,1,-1.29998087487717,0.999918639715859
"Frieseomelitta varia / Scaptotrigona xanthotricha",0.830578697462565,0.158673195314619,45,1,-0.971698331846236,0.999999751662437
"Frieseomelitta varia / Schwarziana quadrifasciata",1.41177996813269,0.301319018522275,45,1,1.61574319293969,0.99723312236497
"Frieseomelitta varia / Tetragona clavipes",1.09746456715153,0.208879440182067,45,1,0.488640895165287,1
"Frieseomelitta varia / Tetragonisca angustula",1.52122432059636,0.298717560414829,45,1,2.13638983034128,0.924845955876241
"Frieseomelitta varia / Trigona hyalinata",1.36665312354847,0.2912058918403,45,1,1.46595349867903,0.999371421698553
"Frieseomelitta varia / Trigona spinipes",1.11860267059876,0.216415241583358,45,1,0.579318313021832,1
"Lestrimelita limao / Melipona asilvai",0.340923386855006,0.0916319177107027,45,1,-4.003701036537,0.0469118700092852
"Lestrimelita limao / Melipona bicolor",0.446280460133494,0.124998573190299,45,1,-2.88053293760774,0.486904338113534
"Lestrimelita limao / Melipona capixaba",0.33528656026093,0.0901028308142373,45,1,-4.06636499198945,0.0397692819130492
"Lestrimelita limao / Melipona captiosa",0.492308356639191,0.132277016148514,45,1,-2.63745233897217,0.656903155197975
"Lestrimelita limao / Melipona fulva",0.387067579671439,0.113113385265742,45,1,-3.2479578413987,0.264306858665086
