"Sample_species","Genus","RelAbundance"
"Lestrimelita limao","Enterococcus",0.799801411614959
"Lestrimelita limao","Floricoccus",0
"Lestrimelita limao","Fructilactobacillus",0
"Lestrimelita limao","Fructobacillus",0
"Lestrimelita limao","Lactobacillus",0.0619513300035416
"Lestrimelita limao","Lelliottia",0
"Lestrimelita limao","Leuconostoc",0
"Lestrimelita limao","Ligilactobacillus",0
"Lestrimelita limao","Liquorilactobacillus",0
"Lestrimelita limao","Lonsdalea",0
"Lestrimelita limao","Orbaceae_NA",0
"Lestrimelita limao","Other",1.09420939012088e-05
"Lestrimelita limao","Pectinatus",0
"Lestrimelita limao","Pseudomonas",0
"Lestrimelita limao","Rosenbergiella",0
"Lestrimelita limao","Snodgrassella",0
"Lestrimelita limao","Swingsia",0
"Lestrimelita limao","Tatumella",0
"Lestrimelita limao","Weissella",0
"Lestrimelita limao","Zymobacter",0
"Lestrimelita limao",NA,0.111528230635874
"Melipona asilvai","Acinetobacter",0.00385855867830568
"Melipona asilvai","Apibacter",0
"Melipona asilvai","Apilactobacillus",0
"Melipona asilvai","Arsenophonus",0
"Melipona asilvai","Asaia",0
"Melipona asilvai","Bifidobacterium",0.0856317012665269
"Melipona asilvai","Bombella",0.000156704976001168
"Melipona asilvai","Bombilactobacillus",0
"Melipona asilvai","Candidatus Kinetoplastibacterium",0
"Melipona asilvai","Commensalibacter",0.000113031096679071
"Melipona asilvai","Dellaglioa",0.0897767721388207
"Melipona asilvai","Dysgonomonas",0
"Melipona asilvai","Enterococcus",0
"Melipona asilvai","Floricoccus",0.12617884667614
"Melipona asilvai","Fructilactobacillus",0
"Melipona asilvai","Fructobacillus",0
"Melipona asilvai","Lactobacillus",0.296014509563829
"Melipona asilvai","Lelliottia",0
"Melipona asilvai","Leuconostoc",8.61877368006422e-05
"Melipona asilvai","Ligilactobacillus",0.146598416307755
"Melipona asilvai","Liquorilactobacillus",0
"Melipona asilvai","Lonsdalea",0
"Melipona asilvai","Orbaceae_NA",0
"Melipona asilvai","Other",0.000198983366451011
"Melipona asilvai","Pectinatus",0
"Melipona asilvai","Pseudomonas",0.0385830889058238
"Melipona asilvai","Rosenbergiella",0
"Melipona asilvai","Snodgrassella",0
"Melipona asilvai","Swingsia",0
"Melipona asilvai","Tatumella",0
"Melipona asilvai","Weissella",0
"Melipona asilvai","Zymobacter",0
"Melipona asilvai",NA,0.212803199286866
"Melipona bicolor","Acinetobacter",0
"Melipona bicolor","Apibacter",0
"Melipona bicolor","Apilactobacillus",0
"Melipona bicolor","Arsenophonus",0
"Melipona bicolor","Asaia",0
"Melipona bicolor","Bifidobacterium",0.0309644714520875
"Melipona bicolor","Bombella",0.00212050591036637
"Melipona bicolor","Bombilactobacillus",0.00909134246623316
"Melipona bicolor","Candidatus Kinetoplastibacterium",0
"Melipona bicolor","Commensalibacter",0.334792966728739
"Melipona bicolor","Dellaglioa",0.0104627015188612
"Melipona bicolor","Dysgonomonas",0
"Melipona bicolor","Enterococcus",0
"Melipona bicolor","Floricoccus",0.34497479779899
"Melipona bicolor","Fructilactobacillus",0
"Melipona bicolor","Fructobacillus",0
"Melipona bicolor","Lactobacillus",0.1037813267758
"Melipona bicolor","Lelliottia",0
"Melipona bicolor","Leuconostoc",0
"Melipona bicolor","Ligilactobacillus",0.0100513430402685
"Melipona bicolor","Liquorilactobacillus",0
"Melipona bicolor","Lonsdalea",0
"Melipona bicolor","Orbaceae_NA",0
"Melipona bicolor","Other",4.04219893746714e-05
"Melipona bicolor","Pectinatus",0
"Melipona bicolor","Pseudomonas",0.00274467209554198
"Melipona bicolor","Rosenbergiella",0
"Melipona bicolor","Snodgrassella",0.00029431232072945
"Melipona bicolor","Swingsia",0
"Melipona bicolor","Tatumella",0
"Melipona bicolor","Weissella",0.119331709939914
"Melipona bicolor","Zymobacter",0
"Melipona bicolor",NA,0.0313494279630945
"Melipona capixaba","Acinetobacter",0.0129199797453254
"Melipona capixaba","Apibacter",0
"Melipona capixaba","Apilactobacillus",0.0390948909933558
"Melipona capixaba","Arsenophonus",0
"Melipona capixaba","Asaia",7.63031771363344e-05
"Melipona capixaba","Bifidobacterium",0.020583320764147
"Melipona capixaba","Bombella",0.0313091423063019
"Melipona capixaba","Bombilactobacillus",0
"Melipona capixaba","Candidatus Kinetoplastibacterium",0
"Melipona capixaba","Commensalibacter",2.63035665623138e-05
"Melipona capixaba","Dellaglioa",0.00433933772959471
"Melipona capixaba","Dysgonomonas",0
"Melipona capixaba","Enterococcus",5.07283069416052e-05
"Melipona capixaba","Floricoccus",0.0379430730200366
"Melipona capixaba","Fructilactobacillus",0
"Melipona capixaba","Fructobacillus",7.70739162993277e-05
"Melipona capixaba","Lactobacillus",0.0955606264919209
"Melipona capixaba","Lelliottia",0.00122085083418135
"Melipona capixaba","Leuconostoc",0.0245418578319802
"Melipona capixaba","Ligilactobacillus",0.0101279706026883
"Melipona capixaba","Liquorilactobacillus",0
"Melipona capixaba","Lonsdalea",0
"Melipona capixaba","Orbaceae_NA",0.000226747892031375
"Melipona capixaba","Other",0.000841953245309426
"Melipona capixaba","Pectinatus",0.0157638525993962
"Melipona capixaba","Pseudomonas",0.0018585379849284
"Melipona capixaba","Rosenbergiella",0.211536683945318
"Melipona capixaba","Snodgrassella",0
"Melipona capixaba","Swingsia",0.444212296263072
"Melipona capixaba","Tatumella",0
"Melipona capixaba","Weissella",0.0319559528333487
"Melipona capixaba","Zymobacter",0
"Melipona capixaba",NA,0.0157325159501245
"Melipona captiosa","Acinetobacter",0.00179868563653924
"Melipona captiosa","Apibacter",0
"Melipona captiosa","Apilactobacillus",0.0207746983829106
"Melipona captiosa","Arsenophonus",0
"Melipona captiosa","Asaia",0.0467828534201633
"Melipona captiosa","Bifidobacterium",0.00674631826436986
"Melipona captiosa","Bombella",0.000844023905555554
"Melipona captiosa","Bombilactobacillus",0
"Melipona captiosa","Candidatus Kinetoplastibacterium",0
"Melipona captiosa","Commensalibacter",0
"Melipona captiosa","Dellaglioa",0.00015557396601186
"Melipona captiosa","Dysgonomonas",0
"Melipona captiosa","Enterococcus",0
"Melipona captiosa","Floricoccus",0.0134015531173887
"Melipona captiosa","Fructilactobacillus",0
"Melipona captiosa","Fructobacillus",0.000857714799492943
"Melipona captiosa","Lactobacillus",0.0160006921677858
"Melipona captiosa","Lelliottia",0.000703302008585634
"Melipona captiosa","Leuconostoc",0.0267115545415281
"Melipona captiosa","Ligilactobacillus",0
"Melipona captiosa","Liquorilactobacillus",0
"Melipona captiosa","Lonsdalea",0
"Melipona captiosa","Orbaceae_NA",2.4239340392072e-05
"Melipona captiosa","Other",9.72000805206202e-05
"Melipona captiosa","Pectinatus",0
"Melipona captiosa","Pseudomonas",0.000124761695360841
"Melipona captiosa","Rosenbergiella",0.0189000472232885
"Melipona captiosa","Snodgrassella",0.0201432647787409
"Melipona captiosa","Swingsia",0.806759830833978
"Melipona captiosa","Tatumella",0
"Melipona captiosa","Weissella",0.015975589883021
"Melipona captiosa","Zymobacter",0
"Melipona captiosa",NA,0.00319809595436691
"Melipona fulva","Acinetobacter",0.00134523591171553
"Melipona fulva","Apibacter",0
"Melipona fulva","Apilactobacillus",0.105794925059422
"Melipona fulva","Arsenophonus",0
"Melipona fulva","Asaia",0.00112548736492723
"Melipona fulva","Bifidobacterium",0.02675622580961
"Melipona fulva","Bombella",0.0193255420724143
"Melipona fulva","Bombilactobacillus",0
"Melipona fulva","Candidatus Kinetoplastibacterium",0
"Melipona fulva","Commensalibacter",0
"Melipona fulva","Dellaglioa",0.00298169261973385
"Melipona fulva","Dysgonomonas",0
"Melipona fulva","Enterococcus",0
"Melipona fulva","Floricoccus",0.591178350256998
"Melipona fulva","Fructilactobacillus",0
"Melipona fulva","Fructobacillus",0
"Melipona fulva","Lactobacillus",0.0305363484835412
"Melipona fulva","Lelliottia",0
"Melipona fulva","Leuconostoc",0.00715053117860555
"Melipona fulva","Ligilactobacillus",0.00161436988239053
"Melipona fulva","Liquorilactobacillus",0
"Melipona fulva","Lonsdalea",0
"Melipona fulva","Orbaceae_NA",0
"Melipona fulva","Other",0.000249027439672445
"Melipona fulva","Pectinatus",0.00244977209377588
"Melipona fulva","Pseudomonas",0.000432023474900355
"Melipona fulva","Rosenbergiella",0.13715248410809
"Melipona fulva","Snodgrassella",0
"Melipona fulva","Swingsia",0
"Melipona fulva","Tatumella",0.0544942551771369
"Melipona fulva","Weissella",0.000684055034911241
"Melipona fulva","Zymobacter",0
"Melipona fulva",NA,0.0167296740321546
"Melipona mandacaia","Acinetobacter",0.00104534487551805
"Melipona mandacaia","Apibacter",0
"Melipona mandacaia","Apilactobacillus",0.0155367096388813
"Melipona mandacaia","Arsenophonus",0
"Melipona mandacaia","Asaia",0.00389718852811321
"Melipona mandacaia","Bifidobacterium",0.0121384996162839
"Melipona mandacaia","Bombella",0.055093008169663
"Melipona mandacaia","Bombilactobacillus",0
"Melipona mandacaia","Candidatus Kinetoplastibacterium",0
"Melipona mandacaia","Commensalibacter",0.00018878767968182
"Melipona mandacaia","Dellaglioa",0.00608329963705381
"Melipona mandacaia","Dysgonomonas",0
"Melipona mandacaia","Enterococcus",0
"Melipona mandacaia","Floricoccus",0.360774762725799
"Melipona mandacaia","Fructilactobacillus",0
"Melipona mandacaia","Fructobacillus",0.00011413364816927
"Melipona mandacaia","Lactobacillus",0.483089158473066
"Melipona mandacaia","Lelliottia",0
"Melipona mandacaia","Leuconostoc",0.000369067155404291
"Melipona mandacaia","Ligilactobacillus",0
"Melipona mandacaia","Liquorilactobacillus",0
"Melipona mandacaia","Lonsdalea",0
"Melipona mandacaia","Orbaceae_NA",5.23112554109155e-05
"Melipona mandacaia","Other",0.000529210921970035
"Melipona mandacaia","Pectinatus",0
"Melipona mandacaia","Pseudomonas",0.0141692733981115
"Melipona mandacaia","Rosenbergiella",0.0321277430361172
"Melipona mandacaia","Snodgrassella",0.000899753593067747
"Melipona mandacaia","Swingsia",0
"Melipona mandacaia","Tatumella",0
"Melipona mandacaia","Weissella",0
"Melipona mandacaia","Zymobacter",0.000732357575752818
"Melipona mandacaia",NA,0.0131593900719359
"Melipona marginata","Acinetobacter",5.15331811628594e-05
"Melipona marginata","Apibacter",0
"Melipona marginata","Apilactobacillus",0
"Melipona marginata","Arsenophonus",0
"Melipona marginata","Asaia",0
"Melipona marginata","Bifidobacterium",0.000942357104161575
"Melipona marginata","Bombella",0.00666850105840228
"Melipona marginata","Bombilactobacillus",0
"Melipona marginata","Candidatus Kinetoplastibacterium",0
"Melipona marginata","Commensalibacter",0.651246656995161
"Melipona marginata","Dellaglioa",0.00226744208258461
"Melipona marginata","Dysgonomonas",0
"Melipona marginata","Enterococcus",0
"Melipona marginata","Floricoccus",0.00884499175449979
"Melipona marginata","Fructilactobacillus",0
"Melipona marginata","Fructobacillus",0
"Melipona marginata","Lactobacillus",0.1222810618518
"Melipona marginata","Lelliottia",0
"Melipona marginata","Leuconostoc",0.000376992843557944
"Melipona marginata","Ligilactobacillus",0
"Melipona marginata","Liquorilactobacillus",0
"Melipona marginata","Lonsdalea",0
"Melipona marginata","Orbaceae_NA",0
"Melipona marginata","Other",9.9732241091428e-05
"Melipona marginata","Pectinatus",0
