"contrast","ratio","SE","df","null","t.ratio","p.value"
"Friesella schrottickyi / Trigona spinipes",0.77705190366048,0.121005054229515,45,1,-1.619848786118,0.997130361830127
"Frieseomelitta varia / Lestrimelita limao",1.96058595000928,0.433989612654256,45,1,3.04143573596006,0.380957892261644
"Frieseomelitta varia / Melipona asilvai",0.889964130262964,0.13940461477998,45,1,-0.744213422262888,0.999999999447128
"Frieseomelitta varia / Melipona bicolor",1.02521697873856,0.165168981738643,45,1,0.154582822458416,1
"Frieseomelitta varia / Melipona capixaba",0.903686837843404,0.141714523461929,45,1,-0.645795010271948,0.999999999982932
"Frieseomelitta varia / Melipona captiosa",1.17938448238948,0.185450140595307,45,1,1.04928366556818,0.999998731870146
"Frieseomelitta varia / Melipona fulva",0.983095607473748,0.173565318132061,45,1,-0.0965671108321402,1
"Frieseomelitta varia / Melipona mandacaia",1.13990267962293,0.177434604186018,45,1,0.841223457426704,0.999999990120677
"Frieseomelitta varia / Melipona marginata",1.48050732572112,0.231611022015711,45,1,2.50820790198697,0.742836001902373
"Frieseomelitta varia / Melipona mondury",1.14454620845611,0.179031058337672,45,1,0.863108131739491,0.999999982202735
"Frieseomelitta varia / Melipona quadrifasciata",0.90377110426654,0.141832440125883,45,1,-0.64472412351114,0.999999999983642
"Frieseomelitta varia / Melipona scutellaris",0.973352896436831,0.151508571601305,45,1,-0.173514098758095,1
"Frieseomelitta varia / Nannotrigona testaceicornis",1.32192375836163,0.21090406552551,45,1,1.7492936766392,0.99179958417075
"Frieseomelitta varia / Oxytrigona tataira",2.4930437301982,0.549626050298048,45,1,4.14355593230621,0.0323290401352087
"Frieseomelitta varia / Partamona helleri",0.899079465702632,0.139956030082938,45,1,-0.683411350231515,0.999999999930341
"Frieseomelitta varia / Plebeia droryana",1.10540968731633,0.175470004986122,45,1,0.631331627145891,1
"Frieseomelitta varia / Plebeia lucii",1.13035470716717,0.17716213200947,45,1,0.781792574464732,0.999999998212801
"Frieseomelitta varia / Plebeia phrynostoma",1.2659562036984,0.324811573200475,45,1,0.919140822012099,0.999999926657939
"Frieseomelitta varia / Scaptotrigona bipunctata",1.01524835662148,0.159307845412214,45,1,0.0964423712506963,1
"Frieseomelitta varia / Scaptotrigona depilis",1.16337448127737,0.260367386802821,45,1,0.676150086980368,0.999999999946468
"Frieseomelitta varia / Scaptotrigona polysticta",0.917820368055878,0.1434144023986,45,1,-0.548803925113654,1
"Frieseomelitta varia / Scaptotrigona xanthotricha",0.944241383699109,0.147789698147378,45,1,-0.366563971424036,1
"Frieseomelitta varia / Schwarziana quadrifasciata",1.2938624481594,0.22624864637697,45,1,1.4733357930359,0.999318767831079
"Frieseomelitta varia / Tetragona clavipes",1.00472461781997,0.156671709848566,45,1,0.0302272905271991,1
"Frieseomelitta varia / Tetragonisca angustula",1.19850730083595,0.192817536513837,45,1,1.1255301279044,0.999994707512837
"Frieseomelitta varia / Trigona hyalinata",1.28908625045215,0.225041279177862,45,1,1.45458805528453,0.999445538643203
"Frieseomelitta varia / Trigona spinipes",1.09101028113976,0.172933522352442,45,1,0.549526202338906,1
"Lestrimelita limao / Melipona asilvai",0.453927628247439,0.0999573998806374,45,1,-3.58672780824524,0.130228775131957
"Lestrimelita limao / Melipona bicolor",0.522913559965941,0.119995632631255,45,1,-2.82531374260314,0.525207702222107
"Lestrimelita limao / Melipona capixaba",0.460926917199997,0.101482863576207,45,1,-3.51778771332141,0.15189320719068
"Lestrimelita limao / Melipona captiosa",0.601546941812933,0.132420449418619,45,1,-2.30883265255714,0.855268517504176
"Lestrimelita limao / Melipona fulva",0.501429487174024,0.120053665675725,45,1,-2.8831515028972,0.48510569593223
"Lestrimelita limao / Melipona mandacaia",0.581409185155863,0.128657195343635,45,1,-2.45068677809718,0.778283453087132
"Lestrimelita limao / Melipona marginata",0.755135129737165,0.166328262659851,45,1,-1.27510602380645,0.999942633303455
"Lestrimelita limao / Melipona mondury",0.583777624465123,0.12858853466121,45,1,-2.443527623488,0.782542584069417
"Lestrimelita limao / Melipona quadrifasciata",0.460969897423913,0.103413984977686,45,1,-3.45200387850796,0.175131712786493
"Lestrimelita limao / Melipona scutellaris",0.496460201824983,0.109880890810509,45,1,-3.16385519738816,0.308749086682711
"Lestrimelita limao / Nannotrigona testaceicornis",0.674249327531585,0.148634015503676,45,1,-1.78800898786864,0.989157718365992
"Lestrimelita limao / Oxytrigona tataira",1.2715809425169,0.345762378218496,45,1,0.883587344777896,0.999999969694838
"Lestrimelita limao / Partamona helleri",0.45857691966954,0.101428225376011,45,1,-3.52484780046638,0.149550726364502
"Lestrimelita limao / Plebeia droryana",0.563815979254109,0.127845881091373,45,1,-2.52712076911989,0.730745368263796
"Lestrimelita limao / Plebeia lucii",0.57653922653165,0.129159871219201,45,1,-2.45824813321941,0.773746522052189
"Lestrimelita limao / Plebeia phrynostoma",0.645702986748636,0.20082666021933,45,1,-1.40638993735456,0.999681564914447
"Lestrimelita limao / Scaptotrigona bipunctata",0.517829048309093,0.116154935618597,45,1,-2.93391350162389,0.450646761523231
"Lestrimelita limao / Scaptotrigona depilis",0.59338101513574,0.164375164844655,45,1,-1.88408369484133,0.979611015634326
"Lestrimelita limao / Scaptotrigona polysticta",0.468135746893185,0.104491922054336,45,1,-3.40039311517233,0.195202075510852
"Lestrimelita limao / Scaptotrigona xanthotricha",0.481611828185671,0.107724428424573,45,1,-3.26642443118097,0.255144946777366
"Lestrimelita limao / Schwarziana quadrifasciata",0.659936611375432,0.156365998987788,45,1,-1.75407212193286,0.991505079723416
"Lestrimelita limao / Tetragona clavipes",0.512461398499371,0.113034756493982,45,1,-3.03088867007097,0.387559348927673
"Lestrimelita limao / Tetragonisca angustula",0.611300565950846,0.134986096083658,45,1,-2.22883451394501,0.891000625461924
"Lestrimelita limao / Trigona hyalinata",0.65750050409473,0.155437255584979,45,1,-1.7736826979243,0.990205184227428
"Lestrimelita limao / Trigona spinipes",0.556471539100135,0.126022764391097,45,1,-2.58818169402478,0.6904837573409
"Melipona asilvai / Melipona bicolor",1.15197561775398,0.191795919441868,45,1,0.849755636868824,0.999999987541356
"Melipona asilvai / Melipona capixaba",1.01541939401129,0.158063787358926,45,1,0.0982999761110937,1
"Melipona asilvai / Melipona captiosa",1.32520451362574,0.206372178565791,45,1,1.8080615005346,0.987542567232002
"Melipona asilvai / Melipona fulva",1.10464632679439,0.199203918357897,45,1,0.551897607376325,1
"Melipona asilvai / Melipona mandacaia",1.28084114950353,0.200534145242601,45,1,1.58092763416277,0.997986153073904
"Melipona asilvai / Melipona marginata",1.66355842373519,0.258962166946161,45,1,3.26952364001467,0.253628639141837
"Melipona asilvai / Melipona mondury",1.28605880791839,0.200200894860215,45,1,1.6161251558486,0.997223695191514
"Melipona asilvai / Melipona quadrifasciata",1.01551407920171,0.16259869833614,45,1,0.0961496317794549,1
"Melipona asilvai / Melipona scutellaris",1.09369901925062,0.171284776890471,45,1,0.57189992180827,1
"Melipona asilvai / Nannotrigona testaceicornis",1.48536745854131,0.232657882823473,45,1,2.52604266918522,0.731439855399834
"Melipona asilvai / Oxytrigona tataira",2.80128563098555,0.622216590721215,45,1,4.63752340881862,0.00791532034374143
"Melipona asilvai / Partamona helleri",1.01024236273093,0.158057344524645,45,1,0.0651322947989487,1
"Melipona asilvai / Plebeia droryana",1.24208341631668,0.202564948355499,45,1,1.32930916754333,0.999879038923535
"Melipona asilvai / Plebeia lucii",1.27011265817329,0.202880382532039,45,1,1.49689708874096,0.999124128916699
"Melipona asilvai / Plebeia phrynostoma",1.42248003110456,0.378390949964548,45,1,1.32477955199322,0.999886104734584
"Melipona asilvai / Scaptotrigona bipunctata",1.14077446730522,0.182615019333669,45,1,0.822760510677003,0.999999994086504
"Melipona asilvai / Scaptotrigona depilis",1.30721502329945,0.297550411274879,45,1,1.17694852009846,0.999987272132931
"Melipona asilvai / Scaptotrigona polysticta",1.03130040509013,0.163722706680439,45,1,0.194140635802631,1
"Melipona asilvai / Scaptotrigona xanthotricha",1.06098813602758,0.169026718992396,45,1,0.371605253002968,1
"Melipona asilvai / Schwarziana quadrifasciata",1.45383662572681,0.257960064024469,45,1,2.10898693252309,0.933351770836477
"Melipona asilvai / Tetragona clavipes",1.12894956510562,0.175972410245279,45,1,0.778119687139842,0.999999998401143
"Melipona asilvai / Tetragonisca angustula",1.34669169248632,0.211923317158773,45,1,1.8914582707168,0.97867098190028
"Melipona asilvai / Trigona hyalinata",1.44846989515325,0.256126343002069,45,1,2.09533046110408,0.93733634748803
"Melipona asilvai / Trigona spinipes",1.22590365615904,0.199494343760131,45,1,1.25161399222794,0.999959227618927
"Melipona bicolor / Melipona capixaba",0.881459102399293,0.147237702421494,45,1,-0.755374307665341,0.999999999210383
"Melipona bicolor / Melipona captiosa",1.15037548816312,0.193535649364412,45,1,0.832685154764672,0.99999999219283
"Melipona bicolor / Melipona fulva",0.958914676465234,0.167263392631979,45,1,-0.240515984010148,1
"Melipona bicolor / Melipona mandacaia",1.11186480838962,0.179329397714863,45,1,0.657452731697252,0.999999999973287
"Melipona bicolor / Melipona marginata",1.44409169612345,0.239475709362274,45,1,2.21598924419472,0.89618357902375
"Melipona bicolor / Melipona mondury",1.11639412162719,0.185058465900111,45,1,0.664219331883679,0.999999999965555
"Melipona bicolor / Melipona quadrifasciata",0.881541296144504,0.138527783246698,45,1,-0.802349884477939,0.999999996708459
"Melipona bicolor / Melipona scutellaris",0.949411604199591,0.153022994739529,45,1,-0.322086641555085,1
"Melipona bicolor / Nannotrigona testaceicornis",1.28940876495056,0.223664268983195,45,1,1.46535166411037,0.999375553094458
"Melipona bicolor / Oxytrigona tataira",2.43172302244319,0.540063643825807,45,1,4.00106407790582,0.0472362201941787
"Melipona bicolor / Partamona helleri",0.876965056517961,0.141687275541943,45,1,-0.812600167730523,0.999999995571458
"Melipona bicolor / Plebeia droryana",1.07822023068369,0.168207589565678,45,1,0.482752589813031,1
"Melipona bicolor / Plebeia lucii",1.10255168477406,0.173518322104666,45,1,0.620332424211756,1
"Melipona bicolor / Plebeia phrynostoma",1.23481782876446,0.293781810031873,45,1,0.886549235849401,0.99999996731667
"Melipona bicolor / Scaptotrigona bipunctata",0.990276573326614,0.155635027614217,45,1,-0.062171095686924,1
"Melipona bicolor / Scaptotrigona depilis",1.13475928062449,0.249799241689487,45,1,0.574288701036666,1
"Melipona bicolor / Scaptotrigona polysticta",0.895244994074502,0.141567728132911,45,1,-0.699777400621398,0.999999999875545
"Melipona bicolor / Scaptotrigona xanthotricha",0.921016139296599,0.145222285949729,45,1,-0.521814587927408,1
"Melipona bicolor / Schwarziana quadrifasciata",1.26203767104149,0.221795139737157,45,1,1.32424459903465,0.999886914340044
"Melipona bicolor / Tetragona clavipes",0.980011684020489,0.160484982465014,45,1,-0.123296303653761,1
"Melipona bicolor / Tetragonisca angustula",1.16902794792826,0.205791788832424,45,1,0.887159410786381,0.999999966805499
"Melipona bicolor / Trigona hyalinata",1.25737895214948,0.221586887377566,45,1,1.29961071763705,0.999919054444594
"Melipona bicolor / Trigona spinipes",1.06417500272202,0.166106233611016,45,1,0.398489135384889,1
"Melipona capixaba / Melipona captiosa",1.30508095614629,0.203187539892762,45,1,1.71023025242564,0.993908852659906
"Melipona capixaba / Melipona fulva",1.08787199979569,0.196618904731761,45,1,0.46599985521286,1
"Melipona capixaba / Melipona mandacaia",1.26139126065312,0.197704442940089,45,1,1.48157688906748,0.99925548061986
"Melipona capixaba / Melipona marginata",1.63829687865573,0.255072177570663,45,1,3.17069889740072,0.304968979775728
"Melipona capixaba / Melipona mondury",1.26652968763771,0.197195987435767,45,1,1.51755843266374,0.998915396861922
"Melipona capixaba / Melipona quadrifasciata",1.00009324737244,0.16049270518801,45,1,0.000581034008558146,1
"Melipona capixaba / Melipona scutellaris",1.07709092981777,0.168872121406477,45,1,0.473665457287063,1
"Melipona capixaba / Nannotrigona testaceicornis",1.46281178722966,0.228887570847042,45,1,2.43086931242097,0.789984331001729
"Melipona capixaba / Oxytrigona tataira",2.75874741757631,0.613341933840138,45,1,4.5643589054326,0.00982609473030571
"Melipona capixaba / Partamona helleri",0.994901583216851,0.155817114548905,45,1,-0.0326369649869843,1
"Melipona capixaba / Plebeia droryana",1.2232220732066,0.200051696028993,45,1,1.23200697054428,0.999969607942011
"Melipona capixaba / Plebeia lucii",1.25082568411054,0.200235116474057,45,1,1.39805468146213,0.999711789554853
"Melipona capixaba / Plebeia phrynostoma",1.40087932089343,0.373844809490857,45,1,1.26318885090561,0.999951688728258
"Melipona capixaba / Scaptotrigona bipunctata",1.12345152557972,0.180248366095793,45,1,0.725532917019446,0.999999999700358
"Melipona capixaba / Scaptotrigona depilis",1.28736464066877,0.293536094726139,45,1,1.10781852115756,0.999996148257287
"Melipona capixaba / Scaptotrigona polysticta",1.01563985400762,0.161547158334378,45,1,0.0975660855235141,1
"Melipona capixaba / Scaptotrigona xanthotricha",1.04487676942655,0.166805521794932,45,1,0.274984887992153,1
"Melipona capixaba / Schwarziana quadrifasciata",1.43175975789039,0.254476225740954,45,1,2.01930343183711,0.956545432137242
"Melipona capixaba / Tetragona clavipes",1.11180618743733,0.173397511488063,45,1,0.679570115502861,0.999999999939354
"Melipona capixaba / Tetragonisca angustula",1.32624184689479,0.208418342205044,45,1,1.7966912348112,0.988480371103094
"Melipona capixaba / Trigona hyalinata",1.42647452244461,0.252630188788921,45,1,2.00566827081928,0.9594807272552
"Melipona capixaba / Trigona spinipes",1.20728800669864,0.19700815603635,45,1,1.1543924208701,0.999991269038454
"Melipona captiosa / Melipona fulva",0.833566680038009,0.151405079499215,45,1,-1.00223715033845,0.999999517252977
"Melipona captiosa / Melipona mandacaia",0.966523382869542,0.151885426021782,45,1,-0.216675927701541,1
"Melipona captiosa / Melipona marginata",1.25532203266025,0.195576263903419,45,1,1.45953479702271,0.999414276967131
"Melipona captiosa / Melipona mondury",0.970460630563167,0.151203671499579,45,1,-0.192447190575578,1
"Melipona captiosa / Melipona quadrifasciata",0.76630744067063,0.123600503129316,45,1,-1.65023158944384,0.996265061204039
"Melipona captiosa / Melipona scutellaris",0.825305836197519,0.12974210306029,45,1,-1.22134410577426,0.999974185924618
"Melipona captiosa / Nannotrigona testaceicornis",1.12085903969446,0.175050078300965,45,1,0.730561515174213,0.999999999645925
"Melipona captiosa / Oxytrigona tataira",2.11385156191574,0.47096984644646,45,1,3.35954110665348,0.212269115279613
"Melipona captiosa / Partamona helleri",0.762329400740511,0.119689706224513,45,1,-1.72845531787147,0.992988422756602
"Melipona captiosa / Plebeia droryana",0.937276777694006,0.15424220624713,45,1,-0.393625417679312,1
"Melipona captiosa / Plebeia lucii",0.958427657855072,0.154179340136451,45,1,-0.263952241377121,1
"Melipona captiosa / Plebeia phrynostoma",1.07340415496524,0.288426655580742,45,1,0.263618626197019,1
"Melipona captiosa / Scaptotrigona bipunctata",0.860828993242768,0.138812712727049,45,1,-0.929333640465581,0.999999906354252
"Melipona captiosa / Scaptotrigona depilis",0.986425121450069,0.225769000846196,45,1,-0.0597173219474243,1
"Melipona captiosa / Scaptotrigona polysticta",0.778219810215185,0.124324542859219,45,1,-1.5695670715546,0.998190509075203
"Melipona captiosa / Scaptotrigona xanthotricha",0.800622187080192,0.128411095173568,45,1,-1.38641640646329,0.999749741217244
"Melipona captiosa / Schwarziana quadrifasciata",1.09706585721561,0.195739283020308,45,1,0.519217790674566,1
"Melipona captiosa / Tetragona clavipes",0.851905916028636,0.133063402298903,45,1,-1.02614831681255,0.999999204570537
"Melipona captiosa / Tetragonisca angustula",1.01621423609688,0.159279536915649,45,1,0.102618216916771,1
"Melipona captiosa / Trigona hyalinata",1.0930161195952,0.194259758176068,45,1,0.500432517423036,1
"Melipona captiosa / Trigona spinipes",0.925067522449786,0.151878049218875,45,1,-0.474408023214164,1
"Melipona fulva / Melipona mandacaia",1.15950337989214,0.204847341085214,45,1,0.837682260766434,0.999999991036029
"Melipona fulva / Melipona marginata",1.5059647448996,0.270842333718788,45,1,2.27657448611069,0.870385889725298
"Melipona fulva / Melipona mondury",1.16422675450381,0.209325029690653,45,1,0.845713419547682,0.9999999888335
"Melipona fulva / Melipona quadrifasciata",0.919311506831927,0.160237196946078,45,1,-0.482671374141236,1
"Melipona fulva / Melipona scutellaris",0.990089762416951,0.174845639928392,45,1,-0.0563981358372761,1
"Melipona fulva / Nannotrigona testaceicornis",1.34465432284716,0.249672500765511,45,1,1.59489674261259,0.997708192570233
"Melipona fulva / Oxytrigona tataira",2.53591177831071,0.593778617375698,45,1,3.97421003972877,0.0506553277695689
"Melipona fulva / Partamona helleri",0.914539195239605,0.161738232643302,45,1,-0.505139162631701,1
"Melipona fulva / Plebeia droryana",1.12441727835291,0.195687334017127,45,1,0.673802984478731,0.999999999950919
"Melipona fulva / Plebeia lucii",1.14979122943274,0.200525730068282,45,1,0.800337711677935,0.999999996896563
"Melipona fulva / Plebeia phrynostoma",1.28772440246327,0.328141128340959,45,1,0.99236389811319,0.999999609290734
"Melipona fulva / Scaptotrigona bipunctata",1.03270561774796,0.180010592794664,45,1,0.18462640908901,1
"Melipona fulva / Scaptotrigona depilis",1.18337878069345,0.276587488450435,45,1,0.72038648222136,0.999999999747798
"Melipona fulva / Scaptotrigona polysticta",0.933602348620388,0.163163803265786,45,1,-0.393119377716631,1
"Melipona fulva / Scaptotrigona xanthotricha",0.960477675335685,0.16764091888294,45,1,-0.231034406760583,1
"Melipona fulva / Schwarziana quadrifasciata",1.31611049660188,0.251455476588477,45,1,1.43767111483395,0.999541685899886
"Melipona fulva / Tetragona clavipes",1.02200092257741,0.182280204496038,45,1,0.122016470832292,1
"Melipona fulva / Tetragonisca angustula",1.21911571135562,0.228862502664464,45,1,1.055385811183,0.999998569671374
"Melipona fulva / Trigona hyalinata",1.31125217186627,0.25084811315226,45,1,1.41650035071902,0.999641171290702
"Melipona fulva / Trigona spinipes",1.10977027345623,0.193132162743825,45,1,0.598481052209161,1
"Melipona mandacaia / Melipona marginata",1.29880151366155,0.203096606345267,45,1,1.67191946833926,0.995521814950087
"Melipona mandacaia / Melipona mondury",1.00407361866604,0.156990790277493,45,1,0.0260009176316445,1
"Melipona mandacaia / Melipona quadrifasciata",0.79284935496906,0.124496437349512,45,1,-1.47825766506799,0.999281561072566
"Melipona mandacaia / Melipona scutellaris",0.853891225835885,0.132913891684263,45,1,-1.01474245543333,0.999999371765588
"Melipona mandacaia / Nannotrigona testaceicornis",1.15968124471724,0.184844162695753,45,1,0.929437977848144,0.999999906121579
"Melipona mandacaia / Oxytrigona tataira",2.18706717228078,0.482255180720561,45,1,3.54898099221235,0.141759437829506
"Melipona mandacaia / Partamona helleri",0.78873353118184,0.122774003223702,45,1,-1.52465144658283,0.998834442214249
"Melipona mandacaia / Plebeia droryana",0.969740405980966,0.154067799632472,45,1,-0.193402408436217,1
"Melipona mandacaia / Plebeia lucii",0.991623870505405,0.15550076537947,45,1,-0.053639294604604,1
"Melipona mandacaia / Plebeia phrynostoma",1.11058270704055,0.285344133668155,45,1,0.408220371630863,1
"Melipona mandacaia / Scaptotrigona bipunctata",0.890644767110575,0.139835278084522,45,1,-0.737619536681486,0.999999999553614
"Melipona mandacaia / Scaptotrigona depilis",1.02059105752976,0.228541012074668,45,1,0.0910191693449106,1
"Melipona mandacaia / Scaptotrigona polysticta",0.805174322740857,0.125863058356259,45,1,-1.38625614053873,0.999750231332166
"Melipona mandacaia / Scaptotrigona xanthotricha",0.828352630955704,0.129712726609529,45,1,-1.20259849225741,0.999980744168382
"Melipona mandacaia / Schwarziana quadrifasciata",1.13506395878235,0.198559201796169,45,1,0.724217852222945,0.999999999713237
"Melipona mandacaia / Tetragona clavipes",0.881412629148594,0.137407791831827,45,1,-0.809707981119623,0.99999999592503
"Melipona mandacaia / Tetragonisca angustula",1.05141195144169,0.168969343372811,45,1,0.311958731811423,1
"Melipona mandacaia / Trigona hyalinata",1.13087395397524,0.197485134268184,45,1,0.704291135282412,0.999999999854383
"Melipona mandacaia / Trigona spinipes",0.957108269541627,0.151836066975204,45,1,-0.27634039912994,1
"Melipona marginata / Melipona mondury",0.773077031482187,0.120334269286259,45,1,-1.65349343732822,0.99616037482862
"Melipona marginata / Melipona quadrifasciata",0.610446897874238,0.0974774453463789,45,1,-3.09091599266409,0.350760714314538
"Melipona marginata / Melipona scutellaris",0.657445511769241,0.102833266296568,45,1,-2.68131424763127,0.626438960938141
"Melipona marginata / Nannotrigona testaceicornis",0.892885658446677,0.140053905191153,45,1,-0.722300757114076,0.99999999973106
"Melipona marginata / Oxytrigona tataira",1.68391178272887,0.373615826557438,45,1,2.34872093883732,0.835293284374531
"Melipona marginata / Partamona helleri",0.607277958090963,0.0949025837280674,45,1,-3.19160141472859,0.293600868895396
"Melipona marginata / Plebeia droryana",0.746642497549218,0.121352260941501,45,1,-1.79762317882802,0.988405697265981
"Melipona marginata / Plebeia lucii",0.763491465073705,0.12163965355133,45,1,-1.69377921267018,0.994651955583713
"Melipona marginata / Plebeia phrynostoma",0.855082701520431,0.226554930451596,45,1,-0.590890947772317,1
"Melipona marginata / Scaptotrigona bipunctata",0.685743554917555,0.109478250880206,45,1,-2.36300649128915,0.827805870210842
"Melipona marginata / Scaptotrigona depilis",0.78579447805888,0.178491536909497,45,1,-1.06124704513743,0.99999839601707
"Melipona marginata / Scaptotrigona polysticta",0.619936390796872,0.0981934462605979,45,1,-3.01868817458183,0.395264293915569
