"Sample_species","Metric","N","Mean","SD","Median","Min","Max"
"Scaptotrigona bipunctata","Observed",3,59,8.185,57,52,68
"Scaptotrigona bipunctata","Shannon",3,2.267,0.154,2.327,2.091,2.381
"Scaptotrigona bipunctata","Simpson",3,0.808,0.038,0.811,0.769,0.845
"Scaptotrigona depilis","Chao1",1,30,NA,30,30,30
"Scaptotrigona depilis","Observed",1,30,NA,30,30,30
"Scaptotrigona depilis","Shannon",1,1.845,NA,1.845,1.845,1.845
"Scaptotrigona depilis","Simpson",1,0.714,NA,0.714,0.714,0.714
"Scaptotrigona polysticta","Chao1",3,64.333,0.577,64,64,65
"Scaptotrigona polysticta","Observed",3,64.333,0.577,64,64,65
"Scaptotrigona polysticta","Shannon",3,2.776,0.351,2.67,2.491,3.169
"Scaptotrigona polysticta","Simpson",3,0.89,0.045,0.887,0.847,0.937
"Scaptotrigona xanthotricha","Chao1",3,60.333,11.372,57,51,73
"Scaptotrigona xanthotricha","Observed",3,60.333,11.372,57,51,73
"Scaptotrigona xanthotricha","Shannon",3,2.617,0.282,2.665,2.313,2.872
"Scaptotrigona xanthotricha","Simpson",3,0.867,0.026,0.865,0.842,0.894
"Schwarziana quadripunctata","Chao1",2,20.5,2.121,20.5,19,22
"Schwarziana quadripunctata","Observed",2,20.5,2.121,20.5,19,22
"Schwarziana quadripunctata","Shannon",2,1.538,0.223,1.538,1.381,1.696
"Schwarziana quadripunctata","Simpson",2,0.633,0.049,0.633,0.598,0.667
"Tetragona clavipes","Chao1",3,30,8.718,26,24,40
"Tetragona clavipes","Observed",3,30,8.718,26,24,40
"Tetragona clavipes","Shannon",3,1.933,0.4,1.878,1.564,2.357
"Tetragona clavipes","Simpson",3,0.802,0.059,0.801,0.745,0.862
"Tetragonisca angustula","Chao1",3,29,1,29,28,30
"Tetragonisca angustula","Observed",3,29,1,29,28,30
"Tetragonisca angustula","Shannon",3,1.354,0.235,1.279,1.166,1.617
"Tetragonisca angustula","Simpson",3,0.66,0.067,0.657,0.595,0.729
"Trigona hyalinata","Chao1",2,32,5.657,32,28,36
"Trigona hyalinata","Observed",2,32,5.657,32,28,36
"Trigona hyalinata","Shannon",2,1.582,0.366,1.582,1.323,1.84
"Trigona hyalinata","Simpson",2,0.633,0.101,0.633,0.562,0.705
"Trigona spinipes","Chao1",3,39.667,16.166,37,25,57
"Trigona spinipes","Observed",3,39.667,16.166,37,25,57
"Trigona spinipes","Shannon",3,1.966,0.395,2.163,1.511,2.223
"Trigona spinipes","Simpson",3,0.756,0.093,0.807,0.649,0.814
