"contrast","ratio","SE","df","null","t.ratio","p.value"
"Plebeia / Tetragonisca",1.23012440562378,0.227801889512332,60,1,1.11841738683533,0.997149182330753
"Plebeia / Trigona",0.952054956637207,0.135973335184375,60,1,-0.34401493140665,0.999999996957254
"Scaptotrigona / Schwarziana",1.61195397732953,0.302573868562092,60,1,2.54358628259552,0.397329917093093
"Scaptotrigona / Tetragona",1.26520137546775,0.204886521456973,60,1,1.45258439498418,0.970801001441294
"Scaptotrigona / Tetragonisca",1.77487276614566,0.301770445937223,60,1,3.37440438012406,0.0685448390668011
"Scaptotrigona / Trigona",1.37366302683223,0.18241486567465,60,1,2.39076893006156,0.498589921546481
"Schwarziana / Tetragona",0.784886785393069,0.174815688432543,60,1,-1.08749951249937,0.997834720822272
"Schwarziana / Tetragonisca",1.10106913169198,0.251497616101158,60,1,0.421525856390036,0.999999960884875
"Schwarziana / Trigona",0.852172609237845,0.172849580398226,60,1,-0.788655641541045,0.999928892351401
"Tetragona / Tetragonisca",1.40283815727712,0.280919034267441,60,1,1.69037005913296,0.911209922524925
"Tetragona / Trigona",1.08572678900573,0.195315260736898,60,1,0.45721265895601,0.999999892571014
"Tetragonisca / Trigona",0.773950140558693,0.145448242024626,60,1,-1.36352999312315,0.982631054075694
